diameter,x_center,Re,Cd,blockage_ratio,flow_regime,U_inlet
0.099,1.664,132000.0,0.8454237373737373,0.0495,1,20.0
0.099,1.664,33000.0,0.8495267878787878,0.0495,1,5.0
0.099,1.664,49500.0,0.8316458810325477,0.0495,1,7.5
0.099,2.004,66000.0,0.8500541414141414,0.0495,1,10.0
0.099,2.004,82500.0,0.8577978181818181,0.0495,1,12.5
0.099,2.004,99000.0,0.8579000673400673,0.0495,1,15.0
0.099,2.004,115500.0,0.8592335765821479,0.0495,1,17.5
0.099,2.004,132000.0,0.861450101010101,0.0495,1,20.0
0.099,2.004,33000.0,0.8661016565656566,0.0495,1,5.0
0.099,2.004,49500.0,0.8475474747474747,0.0495,1,7.5
0.099,2.332,66000.0,0.8413402020202021,0.0495,1,10.0
0.099,2.332,82500.0,0.8490087434343434,0.0495,1,12.5
0.099,2.332,99000.0,0.8491052749719417,0.0495,1,15.0
0.099,2.332,115500.0,0.8504305751391465,0.0495,1,17.5
0.099,2.332,132000.0,0.8526323232323232,0.0495,1,20.0
0.099,2.332,33000.0,0.8567848080808081,0.0495,1,5.0
0.099,2.332,49500.0,0.8387979349046015,0.0495,1,7.5
0.099,2.659,66000.0,0.8412824242424243,0.0495,1,10.0
0.099,2.659,82500.0,0.8489991757575758,0.0495,1,12.5
